@relation 'keeldataset-weka.filters.unsupervised.attribute.Remove-R1-4,6,9-13-weka.filters.unsupervised.attribute.Remove-R4-9-weka.filters.unsupervised.attribute.Remove-R6'

@attribute odor {p,a,l,n,f,c,y,s,m}
@attribute gill-spacing {c,w}
@attribute gill-size {n,b}
@attribute spore-print-color {k,n,u,h,w,r,o,y,b}
@attribute population {s,n,a,v,y,c}
@attribute verdict {p,e}

@data
n,w,b,k,a,e
p,c,n,k,s,p
n,w,b,n,s,e
a,c,b,k,n,e
n,w,b,k,s,e
n,c,b,n,y,e
l,c,b,n,s,e
n,w,b,n,a,e
n,w,b,n,a,e
n,w,b,n,a,e
n,c,b,n,v,e
n,w,b,n,s,e
n,w,b,k,a,e
n,w,b,n,a,e
n,w,b,n,s,e
n,w,b,k,s,e
n,w,b,n,a,e
n,w,b,k,a,e
n,w,b,k,a,e
n,w,b,k,a,e
a,c,b,k,y,e
p,c,n,n,v,p
n,w,b,k,a,e
p,c,n,k,v,p
a,c,b,n,s,e
n,w,b,k,s,e
n,w,b,k,a,e
n,w,b,n,s,e
n,w,b,k,s,e
a,c,b,n,n,e
n,w,b,k,s,e
n,c,b,n,v,e
a,c,b,k,s,e
n,w,b,k,s,e
a,c,b,n,n,e
p,c,n,k,v,p
n,c,b,k,y,e
n,w,b,k,s,e
a,c,b,n,n,e
n,w,b,k,s,e
n,c,b,k,v,e
n,w,b,n,a,e
n,c,n,k,v,e
n,c,n,k,v,e
n,c,n,k,y,e
l,c,b,k,s,e
n,c,n,n,v,e
n,w,b,n,a,e
a,c,b,k,s,e
l,c,b,k,y,e
l,c,b,k,y,e
n,w,b,n,a,e
a,c,b,k,n,e
a,c,b,k,s,e
n,w,b,n,a,e
n,w,b,k,a,e
p,c,n,k,v,p
l,c,b,n,s,e
n,w,b,n,s,e
n,w,b,k,s,e
l,c,b,n,s,e
n,c,b,n,v,e
l,c,b,n,s,e
a,c,b,k,n,e
p,c,n,k,s,p
n,w,b,k,s,e
a,c,b,n,n,e
l,c,b,n,n,e
l,c,b,k,s,e
l,c,b,n,n,e
a,c,b,n,n,e
a,c,b,k,n,e
n,w,b,k,s,e
p,c,n,n,s,p
n,w,b,n,a,e
n,w,b,k,a,e
p,c,n,k,s,p
n,w,b,k,a,e
n,w,b,n,s,e
n,w,b,k,a,e
n,w,b,k,a,e
a,c,b,k,y,e
n,w,b,k,a,e
n,w,b,k,a,e
p,c,n,n,v,p
n,w,b,n,a,e
n,w,b,k,s,e
n,w,b,n,a,e
n,w,b,n,s,e
a,c,b,k,s,e
n,w,b,n,s,e
n,w,b,n,a,e
n,w,b,k,s,e
n,w,b,k,a,e
n,w,b,k,s,e
n,c,b,n,v,e
n,w,b,k,a,e
p,c,n,n,v,p
n,c,b,k,y,e
n,w,b,n,s,e
p,c,n,n,s,p
n,w,b,k,a,e
n,w,b,n,a,e
n,w,b,k,a,e
n,w,b,k,a,e
n,w,b,k,a,e
n,w,b,n,s,e
n,w,b,n,s,e
n,w,b,k,s,e
p,c,n,k,v,p
n,w,b,n,a,e
p,c,n,k,s,p
p,c,n,n,s,p
n,w,b,n,s,e
n,w,b,k,a,e
n,w,b,n,a,e
n,w,b,k,a,e
n,w,b,k,a,e
n,w,b,n,a,e
n,c,b,n,y,e
n,c,b,n,v,e
n,w,b,n,a,e
p,c,n,n,v,p
p,c,n,n,s,p
n,w,b,n,a,e
p,c,n,n,s,p
n,w,b,k,s,e
n,w,b,n,a,e
p,c,n,k,v,p
p,c,n,k,v,p
p,c,n,k,v,p
p,c,n,k,s,p
n,w,b,k,a,e
n,c,b,n,v,e
n,w,b,n,a,e
n,w,b,k,a,e
p,c,n,k,v,p
n,w,b,n,s,e
n,c,b,n,y,e
n,w,b,k,s,e
n,w,b,n,s,e
p,c,n,n,s,p
n,w,b,n,a,e
n,w,b,k,s,e
p,c,n,k,s,p
n,w,b,n,a,e
n,w,b,n,s,e
n,w,b,k,s,e
n,w,b,n,s,e
a,c,b,k,n,e
n,w,b,n,a,e
n,w,b,k,s,e
n,w,b,n,s,e
n,w,b,k,a,e
n,w,b,k,a,e
p,c,n,k,s,p
n,w,b,k,s,e
n,c,b,k,y,e
n,w,b,k,a,e
n,c,b,k,v,e
n,w,b,n,a,e
n,w,b,k,a,e
p,c,n,n,v,p
p,c,n,k,v,p
n,w,b,n,a,e
n,c,b,n,v,e
n,w,b,k,s,e
a,c,b,k,s,e
n,w,b,n,a,e
n,w,b,n,a,e
n,w,b,k,a,e
n,w,b,n,s,e
n,c,b,n,y,e
n,w,b,n,a,e
n,w,b,n,s,e
n,w,b,n,s,e
n,w,b,n,s,e
n,w,b,n,a,e
n,w,b,n,s,e
n,w,b,n,s,e
n,w,b,n,a,e
p,c,n,n,s,p
n,w,b,n,a,e
l,c,b,k,n,e
n,w,b,n,s,e
n,w,b,n,s,e
n,c,b,k,y,e
l,c,b,k,s,e
n,w,b,k,s,e
n,c,b,n,y,e
p,c,n,n,s,p
n,w,b,k,s,e
p,c,n,n,s,p
n,w,b,n,a,e
n,w,b,k,a,e
l,c,b,k,n,e
n,w,b,n,a,e
n,w,b,n,a,e
n,w,b,k,s,e
n,w,b,k,s,e
n,w,b,k,a,e
p,c,n,k,v,p
n,w,b,n,a,e
n,w,b,k,a,e
n,c,b,k,y,e
n,w,b,n,a,e
n,c,b,n,y,e
a,c,b,n,n,e
n,w,b,k,s,e
n,w,b,k,a,e
n,w,b,n,a,e
p,c,n,k,s,p
n,c,b,n,y,e
n,w,b,n,s,e
n,w,b,k,a,e
p,c,n,n,v,p
n,w,b,k,s,e
n,c,b,n,y,e
n,c,b,n,v,e
n,c,b,n,v,e
n,w,b,n,s,e
n,w,b,n,s,e
n,w,b,n,a,e
n,w,b,k,a,e
n,w,b,k,a,e
n,w,b,k,s,e
n,w,b,k,a,e
n,w,b,n,a,e
n,w,b,k,s,e
n,w,b,n,a,e
p,c,n,k,v,p
n,w,b,k,a,e
n,w,b,n,s,e
n,w,b,n,a,e
n,w,b,n,s,e
n,w,b,k,a,e
n,w,b,n,a,e
n,c,b,k,v,e
n,w,b,n,a,e
n,w,b,k,s,e
n,w,b,k,s,e
n,w,b,k,s,e
l,c,b,k,s,e
p,c,n,k,s,p
p,c,n,k,v,p
n,w,b,k,s,e
n,w,b,k,s,e
p,c,n,k,s,p
n,w,b,k,s,e
p,c,n,n,v,p
n,w,b,n,a,e
p,c,n,n,v,p
n,w,b,k,a,e
n,w,b,k,a,e
n,w,b,k,a,e
n,w,b,n,s,e
n,c,b,n,v,e
n,c,b,k,v,e
n,w,b,n,s,e
n,c,b,k,y,e
n,w,b,n,s,e
n,w,b,k,a,e
n,w,b,k,s,e
n,w,b,k,s,e
n,c,b,n,y,e
n,w,b,n,s,e
n,w,b,k,s,e
n,w,b,n,s,e
p,c,n,n,s,p
n,w,b,k,s,e
a,c,b,n,y,e
n,c,b,k,y,e
n,w,b,n,a,e
n,w,b,n,a,e
p,c,n,n,s,p
n,w,b,k,a,e
n,w,b,k,a,e
n,w,b,k,a,e
n,w,b,n,s,e
n,w,b,k,s,e
n,w,b,k,s,e
n,w,b,n,a,e
n,w,b,n,a,e
n,w,b,n,a,e
n,w,b,k,a,e
l,c,b,n,s,e
n,w,b,k,a,e
n,w,b,n,s,e
n,w,b,k,a,e
p,c,n,n,s,p
n,w,b,k,s,e
n,c,b,n,v,e
n,w,b,n,s,e
n,w,b,k,a,e
n,w,b,n,a,e
n,w,b,n,s,e
n,w,b,k,s,e
l,c,b,k,s,e
p,c,n,k,v,p
n,w,b,n,s,e
n,c,b,k,v,e
p,c,n,k,s,p
p,c,n,k,s,p
p,c,n,n,s,p
n,c,b,k,y,e
l,c,b,k,n,e
p,c,n,k,s,p
n,w,b,k,a,e
n,w,b,n,s,e
n,c,b,k,y,e
n,w,b,k,a,e
n,w,b,k,s,e
n,w,b,n,s,e
p,c,n,n,s,p
p,c,n,k,v,p
n,w,b,k,s,e
n,w,b,n,s,e
n,c,b,k,v,e
n,w,b,n,s,e
n,w,b,k,a,e
p,c,n,n,v,p
n,w,b,n,a,e
p,c,n,n,v,p
n,w,b,k,a,e
n,w,b,k,s,e
n,w,b,n,a,e
n,c,b,n,y,e
n,w,b,n,s,e
p,c,n,n,s,p
n,c,b,n,v,e
n,w,b,k,s,e
n,w,b,k,s,e
a,w,n,u,v,e
n,w,b,n,s,e
n,c,b,k,v,e
n,c,b,n,y,e
a,w,n,u,v,e
n,w,b,k,a,e
n,w,b,k,s,e
n,c,b,n,y,e
n,w,b,k,a,e
p,c,n,k,v,p
n,w,b,n,s,e
n,w,b,n,a,e
n,w,b,n,s,e
n,w,b,k,a,e
n,w,b,n,a,e
p,c,n,k,s,p
n,w,b,n,s,e
n,w,b,n,a,e
n,w,b,k,s,e
n,w,b,k,s,e
n,w,b,k,a,e
l,c,b,k,y,e
p,c,n,k,v,p
n,w,b,k,a,e
n,w,b,k,s,e
n,w,b,n,s,e
p,c,n,n,s,p
n,w,b,k,s,e
p,c,n,n,s,p
n,w,b,k,s,e
n,w,b,k,s,e
n,w,b,k,a,e
n,w,b,k,s,e
n,w,b,n,s,e
n,w,b,n,s,e
n,w,b,k,a,e
n,w,b,k,s,e
n,w,b,n,a,e
a,c,b,k,n,e
n,w,b,n,s,e
n,w,b,k,a,e
n,w,b,n,a,e
n,c,b,n,y,e
p,c,n,k,s,p
n,c,b,n,y,e
n,w,b,n,a,e
n,c,b,k,y,e
n,w,b,n,a,e
n,w,b,k,s,e
n,w,b,k,a,e
a,c,b,k,s,e
a,w,n,u,v,e
n,w,b,n,a,e
n,w,b,n,a,e
n,w,b,n,s,e
a,c,b,k,s,e
n,w,b,k,s,e
l,c,b,n,s,e
n,w,b,k,s,e
n,w,b,n,a,e
n,w,b,n,s,e
n,w,b,n,a,e
n,w,b,n,s,e
n,c,b,n,y,e
n,w,b,k,s,e
a,c,b,k,n,e
n,w,b,k,a,e
p,c,n,k,s,p
n,w,b,n,s,e
p,c,n,n,s,p
n,w,b,k,s,e
n,w,b,n,s,e
p,c,n,n,s,p
n,w,b,k,a,e
p,c,n,n,s,p
n,w,b,n,s,e
n,w,b,k,s,e
p,c,n,n,v,p
n,w,b,k,a,e
n,w,b,k,a,e
n,w,b,n,s,e
n,w,b,k,a,e
n,c,b,k,y,e
p,c,n,k,s,p
n,w,b,k,s,e
a,c,b,k,y,e
n,w,b,n,a,e
n,w,b,k,a,e
l,c,b,k,n,e
n,w,b,k,a,e
n,w,b,k,a,e
n,w,b,n,a,e
p,c,n,n,s,p
n,w,b,n,a,e
a,c,b,k,n,e
n,w,b,n,a,e
n,w,b,k,s,e
n,w,b,n,a,e
n,w,b,k,s,e
n,w,b,k,a,e
n,c,b,n,v,e
l,c,b,n,n,e
n,c,b,n,v,e
p,c,n,k,s,p
n,w,b,n,a,e
p,c,n,k,v,p
n,w,b,n,a,e
n,w,b,k,a,e
n,w,b,k,a,e
n,w,b,n,a,e
n,w,b,n,s,e
l,c,b,k,s,e
n,w,b,k,a,e
n,w,b,k,s,e
p,c,n,k,v,p
n,w,b,k,a,e
p,c,n,k,s,p
n,w,b,k,a,e
n,c,b,k,v,e
n,w,b,k,s,e
p,c,n,n,v,p
n,w,b,k,s,e
p,c,n,n,v,p
n,c,b,n,v,e
n,w,b,n,s,e
a,c,b,n,s,e
n,w,b,k,s,e
n,w,b,n,a,e
n,w,b,n,s,e
n,w,b,k,s,e
n,w,b,n,a,e
n,w,b,k,s,e
n,w,b,n,a,e
n,c,b,n,v,e
n,w,b,k,a,e
n,w,b,k,s,e
l,c,b,n,s,e
n,c,b,k,y,e
n,w,b,k,a,e
n,w,b,n,s,e
n,w,b,n,a,e
n,w,b,k,s,e
n,w,b,k,a,e
n,w,b,k,a,e
n,w,b,n,s,e
n,c,b,n,y,e
n,w,b,n,s,e
n,w,b,k,a,e
n,w,b,n,a,e
n,c,n,k,y,e
p,c,n,k,s,p
p,c,n,n,v,p
n,c,b,k,v,e
n,w,b,n,a,e
n,w,b,n,a,e
n,w,b,n,s,e
n,w,b,n,s,e
n,w,b,k,s,e
n,w,b,k,a,e
n,w,b,n,s,e
n,w,b,k,a,e
n,c,b,k,v,e
p,c,n,n,v,p
n,w,b,n,s,e
n,c,b,n,v,e
p,c,n,n,s,p
p,c,n,k,v,p
p,c,n,k,s,p
n,w,b,n,a,e
n,w,b,n,s,e
n,w,b,k,a,e
n,w,b,k,a,e
n,w,b,k,a,e
p,c,n,n,v,p
p,c,n,k,v,p
n,w,b,n,a,e
n,w,b,k,a,e
n,w,b,n,s,e
n,c,b,k,v,e
n,c,b,n,v,e
n,w,b,k,a,e
n,w,b,n,s,e
n,w,b,k,a,e
l,c,b,n,n,e
n,w,b,n,a,e
n,w,b,n,s,e
n,w,b,n,s,e
n,w,b,n,a,e
n,w,b,n,s,e
n,w,b,k,s,e
n,w,b,n,s,e
n,w,b,k,s,e
n,w,b,n,s,e
n,w,b,k,a,e
n,w,b,n,s,e
n,w,b,k,s,e
n,w,b,n,a,e
n,w,b,k,s,e
n,w,b,k,a,e
a,c,b,k,n,e
l,c,b,k,n,e
n,w,b,k,a,e
p,c,n,k,s,p
n,w,b,n,s,e
p,c,n,k,s,p
n,c,b,n,v,e
p,c,n,k,v,p
l,c,b,n,s,e
l,c,b,n,n,e
l,c,b,n,y,e
n,w,b,n,s,e
n,w,b,k,s,e
n,w,b,k,a,e
n,w,b,k,a,e
n,w,b,n,s,e
n,w,b,k,a,e
n,w,b,k,s,e
l,c,b,n,n,e
n,w,b,k,s,e
l,c,b,k,s,e
p,c,n,k,v,p
n,w,b,k,s,e
n,w,b,k,s,e
n,w,b,n,s,e
n,w,b,n,s,e
n,c,b,n,y,e
n,c,b,k,y,e
a,c,b,n,y,e
n,c,b,k,y,e
n,w,b,n,a,e
n,w,b,k,s,e
n,w,b,n,a,e
n,w,b,n,a,e
n,w,b,k,s,e
n,w,b,n,a,e
n,w,b,n,a,e
n,w,b,n,a,e
n,c,b,k,y,e
n,w,b,n,s,e
n,w,b,k,s,e
p,c,n,k,s,p
n,c,b,k,y,e
n,w,b,k,s,e
n,w,b,k,s,e
p,c,n,n,v,p
n,w,b,k,s,e
n,c,b,k,v,e
n,w,b,k,a,e
n,w,b,k,s,e
n,c,b,n,v,e
n,w,b,n,a,e
n,w,b,n,a,e
n,c,b,k,y,e
l,c,b,k,n,e
l,c,b,n,n,e
n,w,b,n,s,e
n,w,b,k,a,e
n,w,b,k,s,e
n,w,b,k,a,e
n,w,b,n,a,e
n,w,b,n,s,e
a,c,b,n,n,e
p,c,n,k,v,p
n,w,b,k,a,e
n,w,b,k,s,e
a,c,b,k,s,e
n,w,b,n,a,e
n,w,b,n,a,e
p,c,n,k,v,p
n,w,b,k,a,e
n,w,b,n,s,e
p,c,n,k,v,p
n,w,b,n,a,e
n,w,b,k,a,e
n,c,b,k,v,e
n,w,b,k,s,e
p,c,n,n,v,p
n,w,b,k,a,e
n,w,b,n,s,e
n,w,b,n,s,e
n,w,b,k,a,e
l,c,b,n,y,e
p,c,n,n,s,p
n,w,b,n,a,e
n,c,n,k,y,e
p,c,n,n,s,p
n,w,b,n,s,e
n,w,b,n,s,e
a,c,b,n,y,e
n,w,b,n,s,e
n,w,b,k,a,e
p,c,n,n,s,p
n,w,b,k,s,e
n,w,b,n,s,e
n,w,b,k,s,e
n,c,b,n,v,e
n,w,b,k,s,e
n,w,b,k,a,e
n,w,b,k,s,e
n,w,b,n,s,e
n,c,b,k,y,e
n,w,b,n,s,e
p,c,n,n,s,p
n,w,b,n,a,e
n,w,b,n,s,e
n,c,b,k,v,e
a,c,b,n,y,e
n,w,b,k,a,e
n,w,b,k,a,e
n,w,b,k,a,e
a,c,b,n,s,e
n,c,b,k,y,e
n,w,b,k,a,e
n,w,b,k,a,e
p,c,n,n,s,p
p,c,n,k,v,p
n,w,b,k,a,e
n,c,n,n,v,e
n,w,b,k,s,e
n,w,b,k,a,e
p,c,n,k,s,p
a,c,b,n,s,e
n,w,b,k,a,e
p,c,n,k,s,p
n,w,b,k,a,e
n,w,b,n,s,e
n,w,b,k,s,e
p,c,n,n,v,p
n,w,b,k,a,e
n,w,b,n,a,e
n,w,b,n,s,e
n,w,b,n,a,e
p,c,n,k,v,p
n,w,b,n,s,e
n,w,b,n,a,e
p,c,n,k,v,p
n,w,b,k,a,e
n,c,b,n,v,e
n,w,b,n,a,e
n,c,b,k,v,e
n,c,b,n,v,e
n,c,b,n,y,e
n,c,b,k,v,e
n,w,b,n,s,e
n,c,b,n,y,e
n,c,b,k,y,e
n,w,b,n,s,e
p,c,n,n,s,p
n,c,b,k,v,e
p,c,n,k,v,p
a,c,b,n,s,e
n,w,b,k,a,e
a,c,b,n,s,e
f,c,b,h,y,p
n,w,b,n,a,e
n,w,b,n,s,e
n,c,b,k,v,e
n,w,b,k,s,e
n,w,b,k,s,e
p,c,n,k,v,p
n,c,b,n,y,e
l,c,b,n,n,e
n,w,b,k,s,e
n,c,b,n,v,e
n,w,b,k,s,e
n,w,b,n,a,e
n,c,b,k,v,e
n,c,b,n,y,e
n,c,b,k,v,e
n,w,b,n,a,e
n,c,b,k,v,e
n,c,b,n,v,e
n,c,b,n,v,e
n,c,b,n,y,e
n,w,b,n,s,e
n,c,b,k,y,e
n,w,b,k,s,e
n,w,b,k,a,e
n,w,b,n,a,e
n,c,b,k,v,e
p,c,n,n,s,p
n,c,b,k,v,e
n,w,b,k,s,e
n,w,b,n,a,e
n,c,b,n,v,e
n,c,b,k,v,e
n,c,b,k,v,e
n,c,b,k,v,e
n,w,b,n,a,e
n,c,b,n,v,e
n,c,b,k,v,e
n,c,b,k,y,e
n,c,b,n,y,e
a,w,n,n,v,e
n,c,b,n,v,e
p,c,n,n,v,p
n,w,b,k,s,e
n,c,b,n,y,e
n,c,b,k,v,e
n,w,b,k,a,e
n,c,b,n,y,e
n,w,b,n,s,e
n,c,b,n,y,e
n,c,b,n,v,e
n,w,b,k,a,e
n,w,b,k,a,e
n,w,b,k,s,e
n,w,b,k,s,e
n,c,b,n,y,e
n,w,b,k,a,e
n,w,b,k,a,e
n,c,b,n,v,e
n,c,b,n,y,e
n,c,b,n,v,e
n,c,b,k,y,e
n,w,b,n,s,e
n,w,b,k,a,e
n,w,b,k,a,e
n,w,b,n,a,e
n,c,b,n,v,e
n,c,b,n,y,e
n,c,b,k,v,e
l,w,n,n,v,e
n,w,b,k,a,e
p,c,n,k,s,p
n,c,b,k,v,e
n,c,b,n,v,e
n,w,b,n,a,e
n,w,b,n,a,e
n,w,b,n,a,e
n,w,b,n,a,e
n,w,b,n,a,e
n,c,b,n,v,e
n,c,b,n,y,e
n,w,b,n,s,e
n,w,b,k,a,e
n,w,b,n,s,e
n,c,b,k,y,e
n,w,b,n,a,e
n,w,b,n,a,e
n,w,b,k,s,e
n,w,b,n,s,e
n,w,b,n,a,e
n,w,b,k,a,e
n,c,b,n,v,e
n,w,b,k,a,e
n,w,b,n,s,e
n,c,b,k,v,e
n,c,b,k,v,e
n,c,b,k,v,e
n,w,b,k,s,e
n,w,b,n,a,e
l,c,b,n,y,e
p,c,n,k,v,p
n,w,b,k,a,e
n,w,b,k,s,e
n,c,b,k,v,e
n,c,b,k,y,e
n,w,b,n,a,e
n,w,b,k,s,e
n,w,b,n,s,e
n,c,b,n,v,e
n,c,b,k,v,e
n,w,b,k,s,e
n,w,b,k,a,e
n,w,b,k,s,e
n,w,b,k,s,e
p,c,n,k,s,p
a,c,b,n,s,e
n,c,b,n,v,e
n,w,b,k,a,e
n,w,b,n,s,e
n,w,b,n,s,e
l,w,n,u,v,e
n,w,b,n,a,e
n,w,b,k,a,e
n,w,b,k,s,e
n,c,b,k,v,e
n,c,b,k,v,e
n,c,b,k,v,e
n,w,b,k,s,e
n,w,b,n,s,e
p,c,n,n,v,p
n,w,b,n,s,e
n,c,b,n,y,e
n,c,b,n,v,e
n,w,b,n,a,e
n,c,b,n,v,e
n,c,b,n,v,e
n,c,b,k,y,e
n,c,b,n,v,e
n,c,b,k,v,e
p,c,n,k,v,p
n,w,b,k,s,e
n,c,b,n,v,e
n,c,b,n,y,e
p,c,n,n,s,p
n,c,b,k,y,e
n,w,b,k,s,e
n,c,b,k,v,e
n,w,b,n,s,e
n,w,b,n,a,e
n,w,b,k,s,e
n,c,b,n,v,e
n,w,b,k,s,e
n,c,b,n,v,e
n,w,b,k,s,e
n,w,b,k,a,e
n,w,b,n,s,e
p,c,n,k,v,p
n,c,b,k,y,e
n,w,b,n,s,e
p,c,n,n,s,p
n,c,b,n,v,e
n,c,b,n,y,e
n,w,b,n,a,e
n,c,b,k,v,e
n,w,b,n,s,e
n,w,b,k,s,e
l,c,b,k,n,e
n,w,b,n,s,e
n,c,b,n,v,e
n,c,b,k,y,e
n,w,b,n,a,e
p,c,n,n,s,p
n,c,b,n,v,e
p,c,n,k,s,p
p,c,n,n,v,p
n,c,b,n,v,e
n,w,b,n,a,e
n,c,b,n,y,e
n,w,b,k,a,e
n,c,b,n,y,e
n,w,b,n,s,e
n,w,b,k,a,e
n,w,b,k,a,e
n,w,b,k,s,e
n,c,b,n,v,e
n,c,b,n,v,e
n,w,b,k,a,e
n,c,b,k,y,e
p,c,n,n,v,p
l,c,b,n,s,e
p,c,n,k,s,p
n,w,b,n,s,e
n,w,b,k,a,e
p,c,n,n,v,p
n,w,b,n,a,e
n,w,b,k,s,e
n,c,b,k,v,e
n,w,b,k,a,e
n,w,b,n,s,e
n,w,b,n,a,e
n,w,b,k,s,e
a,w,n,n,v,e
a,w,n,n,v,e
n,w,b,n,a,e
n,c,b,n,y,e
n,c,b,k,y,e
n,c,b,n,y,e
n,w,b,k,s,e
n,c,b,n,y,e
n,c,b,k,v,e
n,w,b,k,a,e
n,c,b,n,v,e
n,w,b,k,a,e
l,c,b,k,s,e
n,c,b,k,v,e
n,w,b,n,s,e
n,c,b,k,y,e
n,c,b,k,y,e
n,c,b,k,v,e
n,w,b,n,a,e
n,w,b,k,s,e
n,w,b,n,a,e
n,w,b,k,a,e
n,c,b,k,y,e
n,c,b,n,y,e
n,c,b,k,y,e
n,w,b,n,s,e
n,w,b,n,s,e
n,w,b,k,s,e
a,c,b,n,s,e
n,c,b,n,v,e
n,w,b,k,s,e
n,c,b,k,v,e
n,c,b,n,y,e
n,w,b,n,a,e
a,c,b,k,s,e
n,w,b,n,s,e
n,w,b,n,a,e
n,c,b,n,v,e
n,w,b,k,s,e
n,c,b,n,v,e
n,c,b,n,y,e
n,w,b,n,a,e
a,c,b,k,n,e
n,w,b,n,s,e
p,c,n,n,v,p
n,w,b,n,s,e
n,c,b,n,v,e
n,w,b,n,s,e
n,c,b,k,v,e
n,c,b,n,v,e
p,c,n,k,v,p
n,w,b,n,a,e
n,c,b,k,y,e
n,c,b,k,y,e
n,c,b,k,v,e
n,c,b,n,y,e
n,c,b,k,y,e
p,c,n,n,v,p
l,c,b,k,n,e
n,c,b,n,v,e
n,c,b,n,y,e
n,w,b,n,s,e
n,c,b,n,y,e
n,w,b,n,s,e
n,w,b,n,s,e
n,c,b,n,v,e
n,c,b,n,v,e
n,w,b,k,s,e
n,w,b,k,s,e
n,w,b,n,s,e
n,c,b,k,y,e
n,c,b,n,y,e
p,c,n,k,s,p
n,c,b,k,v,e
n,w,b,n,a,e
a,c,b,n,s,e
n,w,b,n,s,e
n,w,b,k,s,e
n,c,b,k,y,e
n,c,b,n,v,e
n,w,b,k,s,e
p,c,n,k,s,p
n,w,b,n,a,e
n,c,b,k,y,e
n,c,b,n,v,e
n,c,b,n,v,e
n,c,b,n,y,e
n,c,b,n,y,e
n,c,b,k,y,e
n,c,b,n,v,e
n,c,b,k,y,e
n,c,b,k,v,e
n,c,b,k,v,e
n,c,b,k,v,e
n,c,b,n,v,e
p,c,n,n,v,p
n,c,b,n,v,e
n,c,b,k,v,e
n,c,b,n,y,e
n,c,b,k,y,e
n,c,b,k,v,e
n,c,b,k,v,e
n,c,b,k,v,e
n,c,b,n,y,e
n,c,b,n,y,e
n,c,b,k,v,e
n,c,b,k,v,e
n,c,b,k,v,e
n,c,b,n,v,e
n,c,b,n,y,e
n,c,b,k,v,e
f,c,b,h,y,p
p,c,n,k,s,p
n,c,b,k,v,e
n,w,b,n,s,e
n,c,b,n,v,e
n,c,b,n,y,e
n,c,b,n,v,e
n,c,b,n,y,e
n,c,b,n,v,e
n,c,b,k,v,e
n,c,b,n,y,e
n,c,b,k,y,e
n,c,b,k,v,e
n,c,b,k,v,e
n,c,b,n,y,e
n,c,b,k,y,e
n,c,b,n,v,e
n,c,b,k,v,e
n,c,b,n,v,e
p,c,n,n,v,p
n,c,b,n,y,e
p,c,n,k,s,p
n,c,b,k,y,e
n,c,b,k,y,e
n,c,b,n,v,e
n,c,b,n,v,e
n,c,b,n,y,e
n,c,b,n,v,e
n,c,b,n,y,e
n,c,b,n,v,e
n,c,b,n,y,e
n,c,b,k,v,e
n,c,b,k,y,e
n,c,b,n,y,e
n,c,b,k,v,e
n,c,b,k,y,e
n,c,b,n,y,e
n,c,b,n,y,e
n,c,b,n,y,e
n,c,b,k,y,e
n,c,b,k,y,e
n,c,b,n,v,e
n,c,b,k,v,e
n,c,b,n,v,e
n,c,b,n,v,e
n,c,b,k,v,e
n,c,b,n,y,e
n,c,b,k,v,e
n,c,b,k,y,e
n,c,b,n,v,e
f,c,b,h,y,p
n,c,b,k,y,e
n,c,b,n,y,e
n,c,b,n,v,e
n,c,b,n,y,e
n,c,b,k,v,e
n,c,b,k,v,e
n,c,b,k,y,e
n,c,b,k,y,e
n,c,b,k,y,e
n,c,b,k,v,e
n,c,b,n,v,e
n,c,b,k,v,e
n,c,b,k,y,e
n,w,b,n,s,e
n,c,b,k,y,e
n,c,b,k,y,e
n,c,b,n,v,e
n,c,b,k,v,e
n,c,b,k,y,e
n,c,b,n,v,e
n,c,b,n,y,e
n,w,b,n,a,e
n,c,b,n,y,e
n,c,b,k,v,e
n,c,b,k,y,e
n,c,b,k,y,e
n,c,b,n,v,e
n,c,b,k,v,e
n,c,b,k,y,e
n,c,b,k,y,e
n,c,b,n,v,e
c,w,n,n,s,p
n,c,b,n,y,e
n,c,b,k,v,e
n,c,b,k,y,e
n,c,b,n,v,e
n,c,b,n,v,e
n,c,b,n,y,e
n,c,b,n,v,e
n,c,b,k,v,e
n,c,b,k,v,e
n,c,b,n,v,e
n,c,b,k,v,e
n,c,b,n,v,e
n,c,b,n,v,e
n,c,b,n,y,e
n,c,b,k,v,e
n,c,b,n,y,e
n,w,b,n,s,e
n,c,b,k,y,e
n,c,b,k,v,e
n,c,b,n,v,e
n,c,b,k,v,e
n,c,b,n,y,e
n,c,b,n,v,e
n,c,b,k,v,e
n,c,b,k,y,e
n,c,b,n,y,e
n,w,b,k,s,e
f,c,b,h,y,p
n,c,b,k,y,e
n,c,b,n,y,e
p,c,n,k,v,p
n,c,b,k,y,e
n,c,b,n,y,e
n,c,b,k,v,e
n,c,b,k,v,e
n,c,b,n,v,e
n,w,b,n,a,e
n,c,b,n,y,e
n,c,b,k,y,e
n,c,b,n,y,e
n,c,b,k,y,e
n,w,b,n,s,e
n,c,b,n,v,e
n,c,b,k,v,e
n,c,b,k,y,e
n,c,b,n,y,e
n,c,b,n,v,e
n,c,b,n,v,e
n,c,b,n,v,e
n,w,b,n,a,e
n,c,b,k,y,e
n,c,b,k,y,e
n,c,b,n,y,e
n,c,b,k,y,e
n,c,b,k,y,e
n,w,b,k,a,e
n,c,b,n,v,e
n,c,b,k,y,e
n,c,b,n,v,e
n,c,b,n,v,e
n,w,b,k,s,e
n,c,b,k,v,e
n,c,b,k,y,e
n,c,b,k,v,e
n,c,b,n,y,e
n,c,b,k,y,e
n,c,b,n,y,e
n,c,b,n,v,e
n,c,b,n,v,e
